Question,Class
In which decade was the American Institute of Electrical Engineers (AIEE) founded?,Sc
What is part of a database that holds only one type of information?,Sc
OS' computer abbreviation usually means ?,Sc
In which decade with the first transatlantic radio broadcast occur?,Sc
.MOV' extension refers usually to what kind of file?,Sc
In which decade was the SPICE simulator introduced?,Sc
Most modern TV's draw power even if turned off. The circuit the power is used in does what function?,Sc
Which is a type of Electrically-Erasable Programmable Read-Only Memory?,Sc
The purpose of choke in tube light is ?,Sc
.MPG' extension refers usually to what kind of file?,Sc
"Who is largely responsible for breaking the German Enigma codes, created a test that provided a foundation for artificial intelligence?",Sc
Who developed Yahoo?,Sc
"Made from a variety of materials, such as carbon, which inhibits the flow of current...?",Sc
The most common format for a home video recorder is VHS. VHS stands for...?,Sc
What does VVVF stand for?,Sc
What frequency range is the High Frequency band?,Sc
The first step to getting output from a laser is to excite an active medium. What is this process called?,Sc
What is the relationship between resistivity r and conductivity s?,Sc
A given signal's second harmonic is twice the given signal's __________ frequency?,Sc
Which motor is NOT suitable for use as a DC machine?,Sc
In which year was MIDI(dress) introduced?,Sc
What does the term PLC stand for?,Sc
"When measuring the characteristics of a small-signal amplifier, say for a radio receiver, one might be concerned with its Noise...?",Sc
DB' computer abbreviation usually means ?,Sc
.INI' extension refers usually to what kind of file?,Sc
"The sampling rate, (how many samples per second are stored) for a CD is...?",Sc
Who created Pretty Good Privacy (PGP)?,Sc
What do we call a network whose elements may be separated by some distance? It usually involves two or more small networks and dedicated high-speed telephone lines.,Sc
"After the first photons of light are produced, which process is responsible for amplification of the light?",Sc
Which is NOT an acceptable method of distributing small power outlets throughout an open plan office area?,Sc
Sometimes computers and cache registers in a foodmart are connected to a UPS system. What does UPS mean?,Sc
Who co-founded Hotmail in 1996 and then sold the company to Microsoft?,Sc
.TMP' extension refers usually to what kind of file?,Sc
"In the UK, what type of installation requires a fireman's switch?",Sc
The electromagnetic coils on the neck of the picture tube or tubes which pull the electron beam from side to side and up and down are called a...?,Sc
In the United States the television broadcast standard is?,Sc
In a color television set using a picture tube a high voltage is used to accelerate electron beams to light the screen. That voltage is about?,Sc
The transformer that develops the high voltage in a home television is commonly called as?,Sc
Which consists of two plates separated by a dielectric and can store a charge?,Sc
What do we call a collection of two or more computers that are located within a limited distance of each other and that are connected to each other directly or indirectly?,Sc
Hathigumpha inscription gives account of which of the following rulers?,Ht
"As per Asoka’s inscriptions, which among the following place was declared tax free and proclaimed only 1/8th part as taxable?",Ht
Which of the following ruler of Satavahana Empire composed Gathasaptashati?,Ht
Who presided First Buddhist Council?,Ht
"In which among the following sacrifices, the sacrificial materials used was sura in Vedic Era?",Ht
"In Pali texts, who among the following is referred to as Nigantha Nataputta?",Ht
"In the revenue department of Mauryas, who among the following was in-charge of the collection of all revenues in the empire?",Ht
Where was the first Jain council held?,Ht
Who defeated Harsha Vardhana on the banks of river Narmada in 630 A.D.?,Ht
Who among the following Pallava ruler built the Shore Temple at Mahabalipuram?,Ht
Who was the father of King Harshavardhan ?,Ht
Who was the first ruler of Kushana dynasty to issue gold coins in India?,Ht
Who among the following introduced Shaka era?,Ht
Bring out the only incorrect statement:,Ht
The Greek Ambassador Deimachus of Plataea had visited the court of which of the following rulers of Magadha?,Ht
"Which among the following kings assassinated Brihadrath, the last Maurya King?",Ht
"The construction of the Delhi Iron Pillar, now located at the Quwwat-ul-Islam mosque in New Delhi was constructed in which period?",Ht
